id,title,description,availability,condition,price,link,image_link,brand,google_product_category,product_type
love-box-100,Love Box 100,Combos · $100,in stock,new,100.00 CAD,https://ordernow.flosgrill.ca,https://raw.githubusercontent.com/lanreflo-pixel/flosgrill-ad-assets/main/menu/love-box-100.jpg,Flo's Grill,"Food, Beverages & Tobacco > Food Items > Prepared Foods",Combos
mcvities-ginger-nuts,McVities Ginger Nuts,Snacks · $5,in stock,new,5.00 CAD,https://ordernow.flosgrill.ca,https://raw.githubusercontent.com/lanreflo-pixel/flosgrill-ad-assets/main/menu/mcvities-ginger-nuts.jpg,Flo's Grill,"Food, Beverages & Tobacco > Food Items > Prepared Foods",Snacks
meatpie,Meatpie,Snacks · $5,in stock,new,5.00 CAD,https://ordernow.flosgrill.ca,https://raw.githubusercontent.com/lanreflo-pixel/flosgrill-ad-assets/main/menu/meatpie.jpg,Flo's Grill,"Food, Beverages & Tobacco > Food Items > Prepared Foods",Snacks
ogobono-swallow-goatmeat,Ogobono +swallow+goatmeat,Soups & Stews · $30,in stock,new,30.00 CAD,https://ordernow.flosgrill.ca,https://raw.githubusercontent.com/lanreflo-pixel/flosgrill-ad-assets/main/menu/ogobono-swallow-goatmeat.jpg,Flo's Grill,"Food, Beverages & Tobacco > Food Items > Prepared Foods",Soups & Stews
palm-wine,Palm Wine,Alcoholic Beverages · $5,in stock,new,5.00 CAD,https://ordernow.flosgrill.ca,https://raw.githubusercontent.com/lanreflo-pixel/flosgrill-ad-assets/main/menu/palm-wine.jpg,Flo's Grill,"Food, Beverages & Tobacco > Food Items > Prepared Foods",Alcoholic Beverages
peppered-whiting-fish,Peppered Whiting Fish,The Grill · $10,in stock,new,10.00 CAD,https://ordernow.flosgrill.ca,https://raw.githubusercontent.com/lanreflo-pixel/flosgrill-ad-assets/main/menu/peppered-whiting-fish.jpg,Flo's Grill,"Food, Beverages & Tobacco > Food Items > Prepared Foods",The Grill
popcorn,Popcorn,Snacks · $5,in stock,new,5.00 CAD,https://ordernow.flosgrill.ca,https://raw.githubusercontent.com/lanreflo-pixel/flosgrill-ad-assets/main/menu/popcorn.jpg,Flo's Grill,"Food, Beverages & Tobacco > Food Items > Prepared Foods",Snacks
poundo-yam-ogbono,Poundo Yam Ogbono,Soups & Stews · $25,in stock,new,25.00 CAD,https://ordernow.flosgrill.ca,https://raw.githubusercontent.com/lanreflo-pixel/flosgrill-ad-assets/main/menu/poundo-yam-ogbono.jpg,Flo's Grill,"Food, Beverages & Tobacco > Food Items > Prepared Foods",Soups & Stews
puff-puff-20,Puff puff 20,Snacks · $15,in stock,new,15.00 CAD,https://ordernow.flosgrill.ca,https://raw.githubusercontent.com/lanreflo-pixel/flosgrill-ad-assets/main/menu/puff-puff-20.jpg,Flo's Grill,"Food, Beverages & Tobacco > Food Items > Prepared Foods",Snacks
puff-puff-40,Puff puff 40,Snacks · $25,in stock,new,25.00 CAD,https://ordernow.flosgrill.ca,https://raw.githubusercontent.com/lanreflo-pixel/flosgrill-ad-assets/main/menu/puff-puff-40.jpg,Flo's Grill,"Food, Beverages & Tobacco > Food Items > Prepared Foods",Snacks
puff-puff-single,Puff puff single,Snacks · $0.5,in stock,new,0.50 CAD,https://ordernow.flosgrill.ca,https://raw.githubusercontent.com/lanreflo-pixel/flosgrill-ad-assets/main/menu/puff-puff-single.jpg,Flo's Grill,"Food, Beverages & Tobacco > Food Items > Prepared Foods",Snacks
sausage-rolls,Sausage rolls,Snacks · $4,in stock,new,4.00 CAD,https://ordernow.flosgrill.ca,https://raw.githubusercontent.com/lanreflo-pixel/flosgrill-ad-assets/main/menu/sausage-rolls.jpg,Flo's Grill,"Food, Beverages & Tobacco > Food Items > Prepared Foods",Snacks
shot-2oz,Shot 2oz,Alcoholic Beverages · $10,in stock,new,10.00 CAD,https://ordernow.flosgrill.ca,https://raw.githubusercontent.com/lanreflo-pixel/flosgrill-ad-assets/main/menu/shot-2oz.jpg,Flo's Grill,"Food, Beverages & Tobacco > Food Items > Prepared Foods",Alcoholic Beverages
springroll,Springroll,Snacks · $0.5,in stock,new,0.50 CAD,https://ordernow.flosgrill.ca,https://raw.githubusercontent.com/lanreflo-pixel/flosgrill-ad-assets/main/menu/springroll.jpg,Flo's Grill,"Food, Beverages & Tobacco > Food Items > Prepared Foods",Snacks
suya-special-15,Suya special 15,The Grill · $15,in stock,new,15.00 CAD,https://ordernow.flosgrill.ca,https://raw.githubusercontent.com/lanreflo-pixel/flosgrill-ad-assets/main/menu/suya-special-15.jpg,Flo's Grill,"Food, Beverages & Tobacco > Food Items > Prepared Foods",The Grill
tequila-cocktail,Tequila Cocktail,Alcoholic Beverages · $15,in stock,new,15.00 CAD,https://ordernow.flosgrill.ca,https://raw.githubusercontent.com/lanreflo-pixel/flosgrill-ad-assets/main/menu/tequila-cocktail.jpg,Flo's Grill,"Food, Beverages & Tobacco > Food Items > Prepared Foods",Alcoholic Beverages
tim-tem-peanut,Tim Tem peanut,Snacks · $15,in stock,new,15.00 CAD,https://ordernow.flosgrill.ca,https://raw.githubusercontent.com/lanreflo-pixel/flosgrill-ad-assets/main/menu/tim-tem-peanut.jpg,Flo's Grill,"Food, Beverages & Tobacco > Food Items > Prepared Foods",Snacks
value-meal,Value Meal,Lunchboxes · $15,in stock,new,15.00 CAD,https://ordernow.flosgrill.ca,https://raw.githubusercontent.com/lanreflo-pixel/flosgrill-ad-assets/main/menu/value-meal.jpg,Flo's Grill,"Food, Beverages & Tobacco > Food Items > Prepared Foods",Lunchboxes
veggie-samosa,Veggie Samosa,Snacks · $0.5,in stock,new,0.50 CAD,https://ordernow.flosgrill.ca,https://raw.githubusercontent.com/lanreflo-pixel/flosgrill-ad-assets/main/menu/veggie-samosa.jpg,Flo's Grill,"Food, Beverages & Tobacco > Food Items > Prepared Foods",Snacks
white-rice-and-stew-meal,White rice and stew meal,Assorted Meat $25 · Beef Only $25 · Chicken $25 · Turkey $25 · Whiting Fish $25 · Goat Meat $30,in stock,new,25.00 CAD,https://ordernow.flosgrill.ca,https://raw.githubusercontent.com/lanreflo-pixel/flosgrill-ad-assets/main/menu/white-rice-and-stew-meal.jpg,Flo's Grill,"Food, Beverages & Tobacco > Food Items > Prepared Foods",Lunchboxes
